LINE NO,중복,VALVE NO,중복,SPECIAL NO,중복
,,11LAB61-AA312,중복,AT001,중복
,,11LAB61-AA313,중복,AT001,중복
,,11LAB61-AA308,중복,,
,,11LAB61-AA306,중복,,
,,11LAB61-AA307,중복,,
,,11LAB61-AA101,중복,,
,,11LAB61-AA103,중복,,
,,11LAB61-AA102,중복,,
,,11LAB63-AA101,중복,,
,,11LAB61-AA301,중복,,
,,11LAB61-AA315,중복,,
,,11LAB61-AA314,중복,,
,,11HAD10-AA408,중복,,
,,11HAD10-AA406,중복,,
,,11HAD10-AA407,중복,,
,,11LAE10-AA102,중복,,
,,11LBA10-AA103,중복,,
,,11LAE40-AA102,중복,,
,,11LBA10-AA103,중복,,
,,11LAB61-AA314,중복,,
,,11LAB61-AA315,중복,,
,,11LAB61-AA312,중복,,
,,11LAB61-AA313,중복,,
,,11LAB61-AA301,중복,,
,,11LAB61-AA306,중복,,
,,11LAB61-AA308,중복,,
,,11LAB61-AA307,중복,,
,,11LBA10-AA192,중복,,
,,11LAF10-AA104,중복,,
,,11LAF40-AA102,중복,,
,,11LBB10-AA192,중복,,
,,11HAC30-AA101,중복,,
,,11HAC30-AA102,중복,,
,,11HAD10-AA408,중복,,
,,11HAD10-AA406,중복,,
,,11HAD10-AA407,중복,,
,,11LBA20-AA102,중복,,
,,11LBA20-AA102,중복,,
,,11LAB66-AA101,중복,,
,,11LAB66-AA102,중복,,
,,11LAB66-AA004,중복,,
,,11LBC10-AA102,중복,,
,,11LAB66-AA004,중복,,
,,11LCB30-AA101,중복,,
,,11LCA20-AA103,중복,,
,,11LCB10-AA302,중복,,
,,11LCB10-AA304,중복,,
,,11LCB10-AA302,중복,,
,,11LCB10-AA304,중복,,
,,11LCQ10-AA101,중복,,
,,11LAB61-AA101,중복,,
,,11LAB61-AA102,중복,,
,,11LAB61-AA103,중복,,
,,11LAB63-AA101,중복,,
,,11LAE10-AA102,중복,,
,,11LAE40-AA102,중복,,
,,11LAF10-AA104,중복,,
,,11LAF40-AA102,중복,,
,,11HAC30-AA101,중복,,
,,11HAC30-AA102,중복,,
,,11LBA20-AA102,중복,,
,,11LAB66-AA101,중복,,
,,11LAB66-AA102,중복,,
,,11LBC10-AA102,중복,,
,,11LCA20-AA103,중복,,
,,11LCB30-AA101,중복,,
,,11LCQ10-AA101,중복,,
,,11LBA10-AA192,중복,,
,,11LBB10-AA192,중복,,
