P1,P2,VALVE NO,중복
00GHD50,AA001,00GHD50-AA001,
00GHD50,AA003,00GHD50-AA003,
00GHD50,AA004,00GHD50-AA004,
00GHD50,AA005,00GHD50-AA005,
00GHD50,AA007,00GHD50-AA007,
00GHD50,AA008,00GHD50-AA008,
00GHD50,AA009,00GHD50-AA009,
00GHD50,AA010,00GHD50-AA010,
00GHD50,AA011,00GHD50-AA011,중복
00GHD50,AA011,00GHD50-AA011,중복
00GHD50,AA012,00GHD50-AA012,중복
00GHD50,AA012,00GHD50-AA012,중복
00GHD50,AA014,00GHD50-AA014,
00GHD50,AA701,00GHD50-AA701,
00GHD50,AA902,00GHD50-AA902,
00GKC00,AA001,00GKC00-AA001,
00GKC01,AA001,00GKC01-AA001,
00GKC01,AA702,00GKC01-AA702,
00QCB00,AA702,00QCB00-AA702,
00QCJ00,AA001,00QCJ00-AA001,중복
00QCJ00,AA001,00QCJ00-AA001,중복
00QCJ00,AA001,00QCJ00-AA001,중복
00QCJ00,AA002,00QCJ00-AA002,
00QCJ00,AA003,00QCJ00-AA003,
00QCJ00,AA004,00QCJ00-AA004,
00QCJ00,AA005,00QCJ00-AA005,
00QCJ00,AA006,00QCJ00-AA006,
00QCJ00,AA007,00QCJ00-AA007,
00QCJ00,AA008,00QCJ00-AA008,
00QCJ00,AA009,00QCJ00-AA009,
00QCJ00,AA010,00QCJ00-AA010,
00QCJ00,AA011,00QCJ00-AA011,
00QCJ00,AA012,00QCJ00-AA012,
00QCJ00,AA013,00QCJ00-AA013,
00QCJ00,AA014,00QCJ00-AA014,
00QCJ00,AA015,00QCJ00-AA015,
00QCJ00,AA017,00QCJ00-AA017,
00QCJ00,AA018,00QCJ00-AA018,
00QCJ00,AA019,00QCJ00-AA019,
00QCJ00,AA020,00QCJ00-AA020,
00QCJ00,AA021,00QCJ00-AA021,
00QCJ00,AA022,00QCJ00-AA022,
00QCJ00,AA023,00QCJ00-AA023,
00QCJ00,AA024,00QCJ00-AA024,
00QCJ00,AA025,00QCJ00-AA025,
00QCJ00,AA026,00QCJ00-AA026,
00QCJ00,AA027,00QCJ00-AA027,
00QCJ00,AA028,00QCJ00-AA028,
00QCJ00,AA029,00QCJ00-AA029,
00QCJ00,AA030,00QCJ00-AA030,
00QCJ00,AA701,00QCJ00-AA701,
00QCJ00,AA702,00QCJ00-AA702,
00QCJ00,AA703,00QCJ00-AA703,
00QCJ00,AA704,00QCJ00-AA704,
00QCJ00,AA705,00QCJ00-AA705,
00QCJ00,AA706,00QCJ00-AA706,
00QCJ00,AA707,00QCJ00-AA707,
00QCJ00,AA708,00QCJ00-AA708,
00QCJ00,AA709,00QCJ00-AA709,
00QCJ00,AA901,00QCJ00-AA901,
00QCJ00,AA902,00QCJ00-AA902,
00QCJ00,AA903,00QCJ00-AA903,중복
00QCJ00,AA903,00QCJ00-AA903,중복
00QCJ00,AA904,00QCJ00-AA904,중복
00QCJ00,AA904,00QCJ00-AA904,중복
00QCJ00,AA908,00QCJ00-AA908,
00QCJ00,AA909,00QCJ00-AA909,
00QCJ00,AA910,00QCJ00-AA910,
00QCJ00,AA911,00QCJ00-AA911,
00QCJ00,AA912,00QCJ00-AA912,
00QCJ00,AA913,00QCJ00-AA913,
00QCJ00,AA9144,00QCJ00-AA9144,
00QCJ00,AA915,00QCJ00-AA915,
00QCJ00,AA916,00QCJ00-AA916,
00QCJ00,AA917,00QCJ00-AA917,
00QCJ00,AA918,00QCJ00-AA918,
00QCJ00,AA951,00QCJ00-AA951,중복
00QCJ00,AA951,00QCJ00-AA951,중복
00QCJ00,AA952,00QCJ00-AA952,
00QCJ00,AA953,00QCJ00-AA953,
00QCJ00,AA954,00QCJ00-AA954,
00QCJ00,AA955,00QCJ00-AA955,
00QCJ00,AA956,00QCJ00-AA956,
00QCJ01,AA001,00QCJ01-AA001,
00QCJ01,AA002,00QCJ01-AA002,
00QCJ01,AA003,00QCJ01-AA003,
00QCJ01,AA901,00QCJ01-AA901,
00QCJ01,AA902,00QCJ01-AA902,
00QCJ02,AA001,00QCJ02-AA001,
00QCJ02,AA002,00QCJ02-AA002,
00QCJ02,AA003,00QCJ02-AA003,
00QCJ02,AA901,00QCJ02-AA901,
00QCJ02,AA902,00QCJ02-AA902,
00QFB50,AA002,00QFB50-AA002,
00QFB50,AA003,00QFB50-AA003,중복
00QFB50,AA003,00QFB50-AA003,중복
00QFB50,AA004,00QFB50-AA004,
00QFB50,AA005,00QFB50-AA005,
00QFB50,AA006,00QFB50-AA006,
00QFB50,AA007,00QFB50-AA007,
00QFB50,AA008,00QFB50-AA008,
00QFB50,AA009,00QFB50-AA009,
00QFB50,AA010,00QFB50-AA010,
11,AA001,11-AA001,
11,AA005,11-AA005,
11,AA703,11-AA703,중복
11,AA703,11-AA703,중복
11,AA703,11-AA703,중복
11,AA901,11-AA901,
11GHD50,AA001,11GHD50-AA001,
11GHD50,AA002,11GHD50-AA002,
11GHD50,AA003,11GHD50-AA003,
11GHD50,AA004,11GHD50-AA004,
11GKC00,AA001,11GKC00-AA001,
11GKC00,AA702,11GKC00-AA702,
