LIST,SIZE,SPEC
11HAC30-BR002-DB2B-DN80,80,HAC
11HAC30-BR003-DB2N-DN80,80,HAC
11HAC30-BR004-DB2B-DN80,80,HAC
11HAC30-BR005-DB2B-DN80,80,HAC
11HAC30-BR006-DA5B-DN80,80,HAC
11HAC30-BR007-DA5B-DN80,80,HAC
11HAC30-BR008-DA5B-DN80,80,HAC
11HAC30-BR009-DA5B-DN80,80,HAC
11HAC30-BR015-DB2B-DN80,80,HAC
11HAC30-BR018-DA5B-DN80,80,HAC
11HAD20-BR193-HB3N-DN80,80,HAD
11HAD20-BR194-HB3N-DN80,80,HAD
11LAB63-BR001-CB2B-DN80,80,LAB
11LAB63-BR002-CB2B-DN80,80,LAB
11LAB63-BR003-CB2B-DN80,80,LAB
11LAB63-BR004-CB2B-DN80,80,LAB
11LAE10-BR001-BB1N-DN80,80,LAE
11LAE10-BR002-BB1N-DN80,80,LAE
11LAE20-BR001-CB1B-DN80,80,LAE
11LAE20-BR002-CB1B-DN80,80,LAE
11LAE40-BR001-BB1N-DN80,80,LAE
11LAE40-BR002-BB1N-DN80,80,LAE
11LAE50-BR001-CB1B-DN80,80,LAE
11LAE50-BR002-CB1B-DN80,80,LAE
11LAF10-BR001-DB1N-DN80,80,LAF
11LAF10-BR002-DB1N-DN80,80,LAF
11LAF20-BR001-EB5B-DN80,80,LAF
11LAF20-BR002-EB5B-DN80,80,LAF
11LAF30-BR001-DA2B-DN80,80,LAF
11LAF40-BR001-DB1N-DN80,80,LAF
11LAF40-BR002-DB1N-DN80,80,LAF
11LAF50-BR001-EB5B-DN80,80,LAF
11LAF50-BR002-EB5B-DN80,80,LAF
11LAF60-BR001-DA1B-DN80,80,LAF
11LBA20-BR192-HB3N-DN80,80,LBA
11LBA20-BR194-HB3N-DN80,80,LBA
11LCA10-BR101-GB1N-DN80,80,LCA
11LCA20-BR191-HB3N-DN80,80,LCA
11LCB50-BR001-EB4N-DN80,80,LCB
11LCB50-BR002-EB4B-DN80,80,LCB
11LCQ10-BR001-HB1N-DN80,80,LCQ
11LCQ10-BR004-HB1N-DN80,80,LCQ
11LCQ10-BR005-HA2N-DN80,80,LCQ
11MBR41-BR102-HC22-DN80,80,MBR
11MBR41-BR103-HC22-DN80,80,MBR
11MBR41-BR105-HC22-DN80,80,MBR
11MBR41-BR106-HC22-DN80,80,MBR
11MBR41-BR108-HC22-DN80,80,MBR
11MBR41-BR109-HC22-DN80,80,MBR
11MBR41-BR111-HC22-DN80,80,MBR
11MBR41-BR112-HC22-DN80,80,MBR
11MBR41-BR114-HC22-DN80,80,MBR
11MBR41-BR115-HC22-DN80,80,MBR
11MBR41-BR117-HC22-DN80,80,MBR
11MBR41-BR118-HC22-DN80,80,MBR
11MBR41-BR120-HC22-DN80,80,MBR
11MBR41-BR121-HC22-DN80,80,MBR
11MBR41-BR123-HC22-DN80,80,MBR
11MBR41-BR124-HC22-DN80,80,MBR
11MBR41-BR126-HC22-DN80,80,MBR
11MBR41-BR127-HC22-DN80,80,MBR
11MBR41-BR129-HC22-DN80,80,MBR
11MBR41-BR130-HC22-DN80,80,MBR
11MBR41-BR132-HC22-DN80,80,MBR
11MBR41-BR133-HC22-DN80,80,MBR
11MBR41-BR135-HC22-DN80,80,MBR
11MBR41-BR136-HC22-DN80,80,MBR
11MBR41-BR138-HC22-DN80,80,MBR
11MBR41-BR139-HC22-DN80,80,MBR
11MBR41-BR141-HC22-DN80,80,MBR
11MBR41-BR142-HC22-DN80,80,MBR
11PGB71-BR001-HB4N-DN80,80,PGB
11PGB72-BR001-HB4N-DN80,80,PGB
11HAC30-BR001-DB2B-DN100,100,HAC
11HAD30-BR193-HB3N-DN100,100,HAD
11HAD30-BR411-HA2N-DN100,100,HAD
11HAH10-BR401-CA1B-DN100,100,HAH
11LAB61-BR101-BB1N-DN100,100,LAB
11LAB64-BR001-DB1N-DN100,100,LAB
11LAB64-BR101-DB1N-DN100,100,LAB
11LAB65-BR002-DB2B-DN100,100,LAB
11LBA10-BR194-GA1N-DN100,100,LBA
11LBA30-BR192-HB3N-DN100,100,LBA
11LBA30-BR194-HB3N-DN100,100,LBA
11LBC10-BR011-DA6N-DN100,100,LBC
11LCQ10-BR011-HB1N-DN100,100,LCQ
11LCQ40-BR406-HB3N-DN100,100,LCQ
11LCQ40-BR407-HB3N-DN100,100,LCQ
11MBR41-BR101-HC22-DN100,100,MBR
11MBR41-BR104-HC22-DN100,100,MBR
11MBR41-BR107-HC22-DN100,100,MBR
11MBR41-BR110-HC22-DN100,100,MBR
11MBR41-BR113-HC22-DN100,100,MBR
11MBR41-BR116-HC22-DN100,100,MBR
