LINE NO,중복,VALVE NO,중복,SPECIAL NO,중복
"320-AC-1""/C2",중복,V0028,중복,,
"320-AA-1""/C2",중복,V0026,중복,,
"320-AD-1""/C2",중복,V0027,중복,,
"305-AB-1-1""/2""/C2",중복,V0025,중복,,
"305-AB-1-1""/2""/C2",중복,V1318,중복,,
"320-AA-1""/C2",중복,V1317,중복,,
"320-AC-1""/C2",중복,V1318,중복,,
"320-AB-1""/C2",중복,V1317,중복,,
"320-AD-1""/C2",중복,V1203,중복,,
"320-AB-1""/C2",중복,V1203,중복,,
"405-AB-14""/C3",중복,V0029,중복,,
"405-AA-14""/C3",중복,V0030,중복,,
"405-AA-14""/C3",중복,V0031,중복,,
"405-AB-14""/C3",중복,V0032,중복,,
"584-AA-1-1""/2""/C2",중복,V0020,중복,,
"566-BA-10""/C1.5",중복,V1504,중복,,
"566-BA-10""/C1.5",중복,V1503,중복,,
"566-BA-16""/C1.5",중복,V0019,중복,,
"566-BA-16""/C1.5",중복,V0027,중복,,
"584-AA-1-1""/2""/C2",중복,V0028,중복,,
,,V0029,중복,,
,,V0031,중복,,
,,V0030,중복,,
,,V0032,중복,,
,,V0021,중복,,
,,V1504,중복,,
,,V0024,중복,,
,,V1503,중복,,
,,V0021,중복,,
,,V0019,중복,,
,,V0026,중복,,
,,V0024,중복,,
,,V0025,중복,,
,,V0020,중복,,
,,V1102,중복,,
,,V1102,중복,,
