"CAESAR II 2018  Ver.10.00.00.7700,  (Build 170726)   Date: NOV 16, 2024   Time: 16:18",,,,,,,,,,
Job Name: TB_LB_09_BFP_SUCTION_LINE,,,,,,,,,,
Licensed To: SPLM: Aceplant Co.Ltd,,,,,,,,,,
RESTRAINT SUMMARY EXTENDED REPORT: Loads On Restraints,,,,,,,,,,
Various Load Cases,,,,,,,,,,
,,,,,,,,,,
Node,Load Case,FX N. ,FY N. ,FZ N. ,MX N.m.  ,MY N.m.  ,MZ N.m.  ,DX mm.,DY mm.,DZ mm.
 ,,,,,,,,,,
LOAD CASE DEFINITION KEY,,,,,,,,,,
,,,,,,,,,,
CASE 4 (HYD) WW+HP+H,,,,,,,,,,
CASE 5 (SUS) W+P1+H,,,,,,,,,,
CASE 6 (OPE) W+D1+T1+P1+H,,,,,,,,,,
CASE 7 (OPE) W+D2+T2+P1+H,,,,,,,,,,
CASE 8 (OPE) W+D1+T1+P1+H+U1,,,,,,,,,,
CASE 9 (OPE) W+D1+T1+P1+H-U1,,,,,,,,,,
CASE 10 (OPE) W+D1+T1+P1+H+U2,,,,,,,,,,
CASE 11 (OPE) W+D1+T1+P1+H-U2,,,,,,,,,,
CASE 12 (OPE) W+D1+T1+P1+H+U3,,,,,,,,,,
CASE 13 (OPE) W+D1+T1+P1+H-U3,,,,,,,,,,
CASE 14 (OPE) W+D1+T1+P1+H+WIN1,,,,,,,,,,
CASE 15 (OPE) W+D1+T1+P1+H+WIN2,,,,,,,,,,
CASE 16 (OPE) W+D1+T1+P1+H+WIN3,,,,,,,,,,
CASE 17 (OPE) W+D1+T1+P1+H+WIN4,,,,,,,,,,
CASE 18 (OCC) L18=L8-L6,,,,,,,,,,
CASE 19 (OCC) L19=L9-L6,,,,,,,,,,
CASE 20 (OCC) L20=L10-L6,,,,,,,,,,
CASE 21 (OCC) L21=L11-L6,,,,,,,,,,
CASE 22 (OCC) L22=L12-L6,,,,,,,,,,
CASE 23 (OCC) L23=L13-L6,,,,,,,,,,
CASE 24 (OCC) L24=L14-L6,,,,,,,,,,
CASE 25 (OCC) L25=L15-L6,,,,,,,,,,
CASE 26 (OCC) L26=L16-L6,,,,,,,,,,
CASE 27 (OCC) L27=L17-L6,,,,,,,,,,
CASE 28 (OCC) L28=L18+L5,,,,,,,,,,
CASE 29 (OCC) L29=L19+L5,,,,,,,,,,
CASE 30 (OCC) L30=L20+L5,,,,,,,,,,
CASE 31 (OCC) L31=L21+L5,,,,,,,,,,
CASE 32 (OCC) L32=L22+L5,,,,,,,,,,
CASE 33 (OCC) L33=L23+L5,,,,,,,,,,
CASE 34 (OCC) L34=L24+L5,,,,,,,,,,
CASE 35 (OCC) L35=L25+L5,,,,,,,,,,
CASE 36 (OCC) L36=L26+L5,,,,,,,,,,
CASE 37 (OCC) L37=L27+L5,,,,,,,,,,
CASE 38 (EXP) L38=L6-L5,,,,,,,,,,
CASE 39 (EXP) L39=L7-L5,,,,,,,,,,
"CASE 40 (OCC) L40=L28,L29,L30,L31,L32,L33,L34,L35,L36,L37",,,,,,,,,,
"CASE 41 (OCC) L41=L28,L29,L30,L31,L32,L33,L34,L35,L36,L37",,,,,,,,,,
 ,,,,,,,,,,
,,,,,,,,,,
10,,TYPE=Rigid ANC;,,,,,,,,
,  4(HYD),-67,-22,-2986,-324,304,268,0,0,0
,  5(SUS),-66,-20,-3337,-554,305,262,0,0,0
,  6(OPE),-141,-611,4209,-2091,885,-3906,1.2,12.1,0.2
,  7(OPE),-266,-799,6228,-2324,1555,-4907,1.4,14.7,0.2
,  8(OPE),2525,-601,4157,-2075,-3301,-5581,1.2,12.1,0.2
,  9(OPE),-3306,-499,4458,-1683,7634,-3718,1.2,12.1,0.2
, 10(OPE),-10,2220,3964,2333,470,-5166,1.2,12.1,0.2
, 11(OPE),-468,-4380,4523,-9806,1933,-2249,1.2,12.1,0.2
, 12(OPE),-126,-671,5559,-1829,873,-4237,1.2,12.1,0.2
, 13(OPE),-157,-550,2859,-2353,896,-3575,1.2,12.1,0.2
, 14(OPE),2201,-553,3806,-1983,-2922,-4848,1.2,12.1,0.2
, 15(OPE),-2865,-558,4782,-1762,6981,-3972,1.2,12.1,0.2
, 16(OPE),19,1394,4277,1033,369,-4704,1.2,12.1,0.2
, 17(OPE),-382,-3706,4285,-8819,1650,-2639,1.2,12.1,0.2
, 18(OCC),2667,9,-51,16,-4186,-1676,0,0,0
, 19(OCC),-3164,112,249,408,6749,188,0,0,0
, 20(OCC),132,2831,-245,4424,-415,-1260,0,0,0
, 21(OCC),-327,-3769,314,-7715,1048,1657,0,0,0
, 22(OCC),15,-61,1350,262,-11,-331,0,0,0
, 23(OCC),-15,61,-1350,-262,11,331,0,0,0
, 24(OCC),2342,57,-402,107,-3807,-942,0,0,0
, 25(OCC),-2723,52,573,329,6096,-66,0,0,0
, 26(OCC),160,2005,69,3124,-516,-798,0,0,0
, 27(OCC),-241,-3096,76,-6728,765,1267,0,0,0
, 28(OCC),2601,-10,-3389,-539,-3881,-1414,0,0,0
, 29(OCC),-3230,92,-3089,-146,7054,450,0,0,0
, 30(OCC),65,2811,-3582,3870,-110,-998,0,0,0
, 31(OCC),-393,-3789,-3023,-8269,1354,1919,0,0,0
, 32(OCC),-51,-81,-1987,-292,294,-69,0,0,0
, 33(OCC),-81,41,-4688,-816,317,593,0,0,0
, 34(OCC),2276,37,-3740,-447,-3502,-680,0,0,0
, 35(OCC),-2789,33,-2764,-225,6402,196,0,0,0
, 36(OCC),94,1985,-3269,2570,-211,-536,0,0,0
, 37(OCC),-307,-3115,-3261,-7282,1071,1528,0,0,0
, 38(EXP),-75,-591,7546,-1537,580,-4168,1.2,12.1,0.2
, 39(EXP),-200,-779,9565,-1770,1250,-5169,1.4,14.7,0.2
, 40(OCC),2601,2811,-1987,3870,7054,1919,0,0,0
, 41(OCC),-3230,-3789,-4688,-8269,-3881,-1414,0,0,0
,    MAX ,    -3306/L9,    -4380/L11,     9565/L39,    -9806/L11,     7634/L9,    -5581/L8,    1.400/L7,   14.700/L7,    0.200/L39
,,,,,,,,,,
11,,TYPE=Displ. Reaction;,,,,,,,,
,  4(HYD),-67,-22,-2986,-324,304,268,0,0,0
,  5(SUS),-66,-20,-3337,-554,305,262,0,0,0
,  6(OPE),-141,-611,4209,-2091,885,-3906,1.2,12.1,0.2
,  7(OPE),-266,-799,6228,-2324,1555,-4907,1.4,14.7,0.2
,  8(OPE),2525,-601,4157,-2075,-3301,-5581,1.2,12.1,0.2
,  9(OPE),-3306,-499,4458,-1683,7634,-3718,1.2,12.1,0.2
, 10(OPE),-10,2220,3964,2333,470,-5166,1.2,12.1,0.2
, 11(OPE),-468,-4380,4523,-9806,1933,-2249,1.2,12.1,0.2
, 12(OPE),-126,-671,5559,-1829,873,-4237,1.2,12.1,0.2
, 13(OPE),-157,-550,2859,-2353,896,-3575,1.2,12.1,0.2
, 14(OPE),2201,-553,3806,-1983,-2922,-4848,1.2,12.1,0.2
, 15(OPE),-2865,-558,4782,-1762,6981,-3972,1.2,12.1,0.2
, 16(OPE),19,1394,4277,1033,369,-4704,1.2,12.1,0.2
, 17(OPE),-382,-3706,4285,-8819,1650,-2639,1.2,12.1,0.2
, 18(OCC),2667,9,-51,16,-4186,-1676,0,0,0
, 19(OCC),-3164,112,249,408,6749,188,0,0,0
, 20(OCC),132,2831,-245,4424,-415,-1260,0,0,0
, 21(OCC),-327,-3769,314,-7715,1048,1657,0,0,0
, 22(OCC),15,-61,1350,262,-11,-331,0,0,0
, 23(OCC),-15,61,-1350,-262,11,331,0,0,0
, 24(OCC),2342,57,-402,107,-3807,-942,0,0,0
